id,species,pre_mirna,mature_mirna,pre_mirna_mirbase_entry,mature_mirna_mirbase_entry,cell_line,family,cluster,reproductive_process,reference
1,Homosapiens,hsa-mir-23b,NA,,,,,,,
2,Homosapiens,hsa-mir-378a,NA,,,,,,,
3,Homosapiens,hsa-mir-10b,NA,,,,,,,
4,Homosapiens,hsa-mir-16-1,NA,,,,,,,
5,Homosapiens,hsa-mir-320a,NA,,,,,,,
6,Homosapiens,hsa-mir-222,NA,,,,,,,
7,Homosapiens,hsa-let-7a-1,NA,,,,,,,
8,Homosapiens,hsa-mir-320b-1,NA,,,,,,,
9,Homosapiens,hsa-mir-96,NA,,,,,,,
10,Homosapiens,hsa-mir-148a,NA,,,,,,,
11,Homosapiens,hsa-mir-26b,NA,,,,,,,
12,Homosapiens,hsa-mir-15b,NA,,,,,,,
13,Homosapiens,hsa-mir-146b,NA,,,,,,,
14,Homosapiens,hsa-mir-212,NA,,,,,,,
15,Homosapiens,hsa-mir-320c-1,NA,,,,,,,
16,Homosapiens,hsa-mir-181a-1,NA,,,,,,,
17,Homosapiens,hsa-let-7f-1,NA,,,,,,,
18,Homosapiens,hsa-mir-760,NA,,,,,,,
19,Homosapiens,hsa-mir-27b,NA,,,,,,,
20,Homosapiens,hsa-mir-181b-1,NA,,,,,,,
21,Homosapiens,hsa-mir-181a-2,NA,,,,,,,
22,Homosapiens,hsa-mir-150,NA,,,,,,,
23,Homosapiens,hsa-mir-200c,NA,,,,,,,
24,Homosapiens,hsa-mir-605,NA,,,,,,,
25,Homosapiens,hsa-mir-204,NA,,,,,,,
26,Homosapiens,hsa-mir-9-1,NA,,,,,,,
27,Homosapiens,hsa-mir-141,NA,,,,,,,
28,Homosapiens,hsa-mir-34b,NA,,,,,,,
29,Homosapiens,hsa-mir-1-1,NA,,,,,,,
30,Homosapiens,hsa-mir-520a,NA,,,,,,,
31,Homosapiens,hsa-mir-187,NA,,,,,,,
32,Homosapiens,hsa-mir-139,NA,,,,,,,
33,Homosapiens,hsa-let-7f-2,NA,,,,,,,
34,Homosapiens,hsa-mir-320d-1,NA,,,,,,,
35,Homosapiens,hsa-mir-200b,NA,,,,,,,
36,Homosapiens,hsa-mir-199a-1,NA,,,,,,,
37,Homosapiens,hsa-mir-29a,NA,,,,,,,
38,Homosapiens,hsa-mir-1-2,NA,,,,,,,
39,Homosapiens,hsa-mir-1244-1,NA,,,,,,,
40,Homosapiens,hsa-mir-181b-2,NA,,,,,,,
41,Homosapiens,hsa-mir-4697,NA,,,,,,,
42,Homosapiens,hsa-mir-29b-1,NA,,,,,,,
43,Homosapiens,hsa-mir-34a,NA,,,,,,,
44,Homosapiens,hsa-mir-4745,NA,,,,,,,
45,Homosapiens,hsa-mir-4746,NA,,,,,,,
46,Homosapiens,hsa-mir-4768,NA,,,,,,,
47,Homosapiens,hsa-mir-885,NA,,,,,,,
48,Homosapiens,hsa-mir-1302-1,NA,,,,,,,
49,Homosapiens,hsa-mir-516b-2,NA,,,,,,,
50,Homosapiens,hsa-mir-519a-1,NA,,,,,,,
51,Homosapiens,hsa-mir-876,NA,,,,,,,
52,Homosapiens,hsa-mir-34a,hsa-miR-34a-5p,,,,,,,
53,Homosapiens,hsa-mir-21,hsa-miR-21-5p,,,,,,,
54,Homosapiens,hsa-mir-146a,hsa-miR-146a-5p,,,,,,,
55,Homosapiens,hsa-mir-155,hsa-miR-155-5p,,,,,,,
56,Homosapiens,hsa-mir-1-2,hsa-miR-1-3p,,,,,,,
57,Homosapiens,hsa-mir-145,hsa-miR-145-5p,,,,,,,
58,Homosapiens,hsa-mir-23b,hsa-miR-23b-3p,,,,,,,
59,Homosapiens,hsa-mir-150,hsa-miR-150-5p,,,,,,,
60,Homosapiens,hsa-let-7f-1,hsa-let-7f-5p,,,,,,,
61,Homosapiens,hsa-mir-141,hsa-miR-141-3p,,,,,,,
62,Homosapiens,hsa-mir-200c,hsa-miR-200c-3p,,,,,,,
63,Homosapiens,hsa-mir-671,hsa-miR-671-5p,,,,,,,
64,Homosapiens,hsa-mir-16-1,hsa-miR-16-5p,,,,,,,
65,Homosapiens,hsa-mir-181b-1,hsa-miR-181b-5p,,,,,,,
66,Homosapiens,hsa-mir-222,hsa-miR-222-5p,,,,,,,
67,Homosapiens,hsa-mir-26b,hsa-miR-26b-5p,,,,,,,
68,Homosapiens,hsa-mir-34a,hsa-miR-34a-3p,,,,,,,
69,Homosapiens,hsa-mir-212,hsa-miR-212-3p,,,,,,,
70,Homosapiens,hsa-mir-378a,hsa-miR-378a-3p,,,,,,,
71,Homosapiens,hsa-mir-330,hsa-miR-330-3p,,,,,,,
72,Homosapiens,hsa-mir-200b,hsa-miR-200b-3p,,,,,,,
73,Homosapiens,hsa-mir-15b,hsa-miR-15b-5p,,,,,,,
74,Homosapiens,hsa-mir-17,hsa-miR-17-5p,,,,,,,
75,Homosapiens,hsa-mir-200a,hsa-miR-200a-3p,,,,,,,
76,Homosapiens,hsa-mir-181a-1,hsa-miR-181a-3p,,,,,,,
77,Homosapiens,hsa-mir-490,hsa-miR-490-3p,,,,,,,
78,Homosapiens,hsa-mir-96,hsa-miR-96-5p,,,,,,,
79,Homosapiens,hsa-mir-151a,hsa-miR-151a-3p,,,,,,,
80,Homosapiens,hsa-mir-199a-1,hsa-miR-199a-5p,,,,,,,
81,Homosapiens,hsa-mir-148a,hsa-miR-148a-5p,,,,,,,
82,Homosapiens,hsa-mir-214,hsa-miR-214-5p,,,,,,,
83,Homosapiens,hsa-mir-146b,hsa-miR-146b-5p,,,,,,,
84,Homosapiens,hsa-mir-146b,hsa-miR-146b-3p,,,,,,,
85,Homosapiens,hsa-mir-17,hsa-miR-17-3p,,,,,,,
86,Homosapiens,hsa-mir-181a-2,hsa-miR-181a-5p,,,,,,,
87,Homosapiens,hsa-mir-23b,hsa-miR-23b-5p,,,,,,,
88,Homosapiens,hsa-mir-449a,hsa-miR-449a,,,,,,,
89,Homosapiens,hsa-mir-1276,hsa-miR-1276,,,,,,,
90,Homosapiens,hsa-mir-15b,hsa-miR-15b-3p,,,,,,,
91,Homosapiens,hsa-mir-199a-1,hsa-miR-199a-3p,,,,,,,
92,Homosapiens,hsa-mir-204,hsa-miR-204-5p,,,,,,,
93,Homosapiens,hsa-mir-320b-1,hsa-miR-320b,,,,,,,
94,Homosapiens,hsa-mir-320c-1,hsa-miR-320c,,,,,,,
95,Homosapiens,hsa-mir-320d-1,hsa-miR-320d,,,,,,,
96,Homosapiens,hsa-mir-320e,hsa-miR-320e,,,,,,,
97,Homosapiens,hsa-mir-9-1,hsa-miR-9-3p,,,,,,,
98,Homosapiens,hsa-let-7a-1,hsa-let-7a-5p,,,,,,,
99,Homosapiens,hsa-let-7b,hsa-let-7b-5p,,,,,,,
100,Homosapiens,hsa-mir-206,hsa-miR-206,,,,,,,
101,Homosapiens,hsa-mir-29a,hsa-miR-29a-3p,,,,,,,
102,Homosapiens,hsa-mir-29a,hsa-miR-29a-5p,,,,,,,
103,Homosapiens,hsa-mir-29b-1,hsa-miR-29b-3p,,,,,,,
104,Homosapiens,hsa-mir-29c,hsa-miR-29c-3p,,,,,,,
105,Homosapiens,hsa-mir-151a,hsa-miR-151a-5p,,,,,,,
106,Homosapiens,hsa-mir-27b,hsa-miR-27b-3p,,,,,,,
107,Homosapiens,hsa-mir-181a-2,hsa-miR-181a-2-3p,,,,,,,
108,Homosapiens,hsa-mir-181b-1,hsa-miR-181b-3p,,,,,,,
109,Homosapiens,hsa-mir-873,hsa-miR-873-3p,,,,,,,
110,Homosapiens,hsa-mir-338,hsa-miR-338-3p,,,,,,,
111,Homosapiens,hsa-mir-873,hsa-miR-873-5p,,,,,,,
112,Homosapiens,hsa-mir-9-1,hsa-miR-9-5p,,,,,,,
113,Homosapiens,hsa-mir-4698,hsa-miR-4698,,,,,,,
114,Homosapiens,hsa-mir-5690,hsa-miR-5690,,,,,,,
115,Homosapiens,hsa-mir-760,hsa-miR-760,,,,,,,
116,Homosapiens,hsa-let-7a-1,hsa-let-7a-3p,,,,,,,
117,Homosapiens,hsa-mir-96,hsa-miR-96-3p,,,,,,,
118,Homosapiens,hsa-mir-34b,hsa-miR-34b-5p,,,,,,,
119,Homosapiens,hsa-mir-338,hsa-miR-338-5p,,,,,,,
120,Homosapiens,hsa-mir-34b,hsa-miR-34b-3p,,,,,,,
121,Homosapiens,hsa-mir-34c,hsa-miR-34c-3p,,,,,,,
122,Homosapiens,hsa-mir-519a-1,hsa-miR-519a-3p,,,,,,,
123,Homosapiens,hsa-let-7f-2,hsa-let-7f-2-3p,,,,,,,
124,Homosapiens,hsa-mir-222,hsa-miR-222-3p,,,,,,,
125,Homosapiens,hsa-mir-34c,hsa-miR-34c-5p,,,,,,,
126,Homosapiens,hsa-mir-363,hsa-miR-363-3p,,,,,,,
127,Homosapiens,hsa-mir-27b,hsa-miR-27b-5p,,,,,,,
128,Homosapiens,hsa-mir-876,hsa-miR-876-5p,,,,,,,
129,Homosapiens,hsa-mir-634,hsa-miR-634,,,,,,,
130,Homosapiens,hsa-let-7b,hsa-let-7b-3p,,,,,,,
131,Homosapiens,hsa-mir-936,hsa-miR-936,,,,,,,
132,Homosapiens,hsa-mir-520a,hsa-miR-520a-5p,,,,,,,
133,Homosapiens,hsa-mir-4745,hsa-miR-4745-5p,,,,,,,
