gene_name,gene_start_pos,cluster,cluster_motifs
RP11-206L10.9,778770,1,"TFAP2C, TFAP2C, YY1"
RP11-206L10.9,778770,2,"MYB, KLF9, KLF5, SP1, KLF4, SRF, JUND, JUN, CREB1, CREM, ATF1, JUN, GABPA, JUND, CREB1, NFYB, NFYA, RUNX1"
FAM87B,817371,3,"CREB1, FLI1, SPI1, STAT1, XBP1"
RP11-54O7.16,904834,4,"MYC, MAX"
RP11-54O7.16,904834,5,"AR, NR3C1, REST, RFX5, CTCF, EBF1, ZNF143, CTCFL, NEUROD1, TCF12, TBX21, RARA, TCF12, POU5F1, AR, MXI1, PAX5, YY1"
RP11-54O7.1,911435,6,"BHLHE40, HIF1A, ARNT"
RP11-54O7.1,911435,7,"MYCN, USF1"
RP11-54O7.1,911435,8,"CUX1, PPARG, JUN, JUND, JUN, JUND, PROX1, ATF3, FOS, PDX1, YY1"
RP11-54O7.2,914171,9,"ETS1, ERG"
RP11-54O7.2,914171,10,"ASCL1, MYC, MYC"
RP11-54O7.2,914171,11,"MNT, MAX, TCF3"
RP11-54O7.3,916865,12,"GATA1, GATA2"
SAMD11,923928,13,"MNT, TEAD4, JUN, JUND, NFE2L2, JUN, NFE2, JUND, SP1"
SAMD11,923928,14,"CTCF, MYC, ETV1, GABPA, NR1H2, MYC, SREBF1, E2F6"
NOC2L,944204,15,"MYC, TP63"
NOC2L,944204,16,"ATF1, CREB1"
NOC2L,944204,17,"ELF1, PBX3, PBX2"
KLHL17,960587,18,"ZNF143, GFI1B, TEAD4, TCF12, ARNT, ZNF143, ELK4, ZNF143, MXI1, MYC, NRF1, RELA, KLF9, SP1, SP2, KLF5"
KLHL17,960587,19,"CTCFL, MYC"
KLHL17,960587,20,"MAX, ZNF263"
KLHL17,960587,21,"E2F4, NR3C1, E2F6, E2F4, ELF1, FOXP2, PBX3"
PLEKHN1,966497,22,"JUN, JUND, NFE2L2, JUN, FOSL2, ATF3, FOSL1, JUND, SPI1, TAL1, ELF1, ETS1, ERG, ETV1"
PLEKHN1,966497,23,"NR2F1, ZNF263"
RP11-54O7.17,995966,24,"SPI1, STAT1"
RP11-54O7.17,995966,25,"CEBPB, ESR1"
HES4,998962,26,"KLF13, BHLHE40"
HES4,998962,27,"EGR1, NRF1"
ISG15,1001138,28,"AR, TFAP2C, TFAP2A, NRF1, TFAP2C, TFAP2A, TFAP2C, TFAP2A, MYC, RELA, SRF"
ISG15,1001138,29,"BACH1, TEAD1, TEAD4, NFYB, NFYA, EGR1, SMAD3, SP1"
ISG15,1001138,30,"REST, EGR1"
ISG15,1001138,31,"ZBTB7A, ZBTB7A"
ISG15,1001138,32,"TFDP1, E2F4, ERG, FLI1, NFKB1, RELB"
ISG15,1001138,33,"TFAP2C, TFAP2C"
ISG15,1001138,34,"MAFF, SMAD3"
ISG15,1001138,35,"AR, NR3C1, BHLHE40, NRF1, ARNT, BHLHE40, PAX5, TP63, CREB3, CREB1, ATF3, ATF1, NR2F2, RFX5, JUN, JUND, BATF, JUN, JUNB, NFE2, CREM, JUND, CREB1, ATF3, CEBPB, CEBPG, JUN, CREB1, CREM, ATF1, USF2, USF1, MXI1, MYC, MYCN, MAX, TCF12"
ISG15,1001138,36,"IRF1, FOXA1, FOXA2"
RP11-54O7.10,1008076,37,"ESR1, YY1, ESR1"
RP11-54O7.10,1008076,38,"NFE2L2, CUX1, NR2F1, HNF4A, NR2F2, ESRRA, NR2F6, HNF4G, RXRA, TCF7L2, USF2, MYC, MAX, JUND, PROX1, SP1, PPARG, FOSL1, FOS, JUN, JUND, JUN, JUNB, FOSL2, ATF3, YY1"
RP11-54O7.11,1011997,39,"TAL1, ERG, FLI1"
AGRN,1020123,40,"PAX5, POU5F1, CTCF, NEUROD1, CTCFL, E2F1, TBX21, E2F4, TFAP2C, TFAP2C"
AGRN,1020123,41,"NFYB, NFYA, EGR1"
AGRN,1020123,42,"ZNF143, BACH1"
AGRN,1020123,43,"CREB1, SRF"
RP11-465B22.3,1059734,44,"MAX, USF1"
RP11-465B22.3,1059734,45,"ELF3, NEUROD1, ELF1, ETV4, ERG, GABPA, REST, RXRA, HNF4A, NR2F6, HNF4G, NR2C2, NR2F6, NR2F2, NR2F1"
RP11-465B22.3,1059734,46,"SNAI2, RFX5, RELB"
RP11-465B22.3,1059734,47,"ZNF263, NRF1"
RP11-465B22.3,1059734,48,"TCF12, JUN, NFE2L2"
